product_code,size_value,color_value,option_name
01P0000115177,Free,화이트,화이트/Free
01P0000115278,Free,화이트,화이트/Free
01P0000115342,Free,화이트,화이트/Free
01P0000115463,Free,화이트,화이트/Free
01P0000115591,Free,화이트,화이트/Free
01P0000115705,Free,화이트,화이트/Free
01P0000115786,Free,화이트,화이트/Free
01P0000115930,Free,투명,투명/Free
01P0000115946,Free,투명,투명/Free
01P0000115967,Free,투명,투명/Free
01P0000115979,Free,투명,투명/Free
01P0000116002,Free,투명,투명/Free
01P0000116028,Free,투명,투명/Free
01P0000116030,Free,투명,투명/Free
01P0000116033,Free,투명,투명/Free
01P0000116053,Free,투명,투명/Free
01P0000116055,Free,화이트,화이트/Free
01P0000116069,Free,투명,투명/Free
01P0000116084,Free,투명,투명/Free
01P0000116096,Free,투명,투명/Free
01P0000116112,Free,투명,투명/Free
01P0000116129,Free,투명,투명/Free
01P0000116141,Free,화이트,화이트/Free
01P0000116142,Free,투명,투명/Free
01P0000116144,Free,화이트,화이트/Free
01P0000116157,Free,화이트,화이트/Free
01P0000116158,Free,화이트,화이트/Free
01P0000116163,Free,투명,투명/Free
01P0000116176,Free,화이트,화이트/Free
01P0000116181,Free,투명,투명/Free
01P0000116187,Free,투명,투명/Free
01P0000116188,Free,화이트,화이트/Free
01P0000116189,Free,투명,투명/Free
01P0000116217,Free,투명,투명/Free
01P0000116218,Free,투명,투명/Free
01P0000116225,Free,투명,투명/Free
01P0000116230,Free,투명,투명/Free
01P0000116235,Free,투명,투명/Free
01P0000116236,Free,투명,투명/Free
01P0000116250,Free,화이트,화이트/Free
01P0000116254,Free,투명,투명/Free
01P0000116283,Free,투명,투명/Free
01P0000116284,Free,투명,투명/Free
01P0000116285,Free,투명,투명/Free
01P0000116297,Free,투명,투명/Free
01P0000116302,Free,블랙,블랙/Free
01P0000116306,Free,투명,투명/Free
01P0000116307,Free,투명,투명/Free
01P0000116308,Free,투명,투명/Free
01P0000116314,Free,투명,투명/Free
01P0000116332,Free,화이트,화이트/Free
01P0000116363,Free,화이트,화이트/Free
01P0000116385,Free,화이트,화이트/Free
01P0000116449,Free,화이트,화이트/Free
01P0000116455,Free,화이트,화이트/Free
01P0000116468,Free,화이트,화이트/Free
01P0000116805,Free,화이트,화이트/Free
01P0000116807,Free,화이트,화이트/Free
01P0000116848,Free,화이트,화이트/Free
01P0000116913,Free,옐로우,옐로우/Free
01P0000124722,Free,화이트,화이트/Free
01P0000125587,Free,투명,투명/Free
01P0000125589,Free,투명,투명/Free
01P0000126281,Free,투명,투명/Free
01P0000129903,Free,투명,투명/Free
01P0000136148,Free,화이트,화이트/Free
01P0000166445,FR,기타,기타/FR
01P0000168790,18cm,기타,기타/18cm
01P0000169903,FR,기타,기타/FR
01P0000171407,FR,기타,기타/FR
01P0000171538,FR,기타,기타/FR
01P0000171554,FR,기타,기타/FR
01P0000171560,FR,기타,기타/FR
01P0000171562,FR,기타,기타/FR
01P0000171564,FR,기타,기타/FR
01P0000171572,FR,기타,기타/FR
01P0000171574,소,기타,기타/소
01P0000171576,FR,기타,기타/FR
01P0000171583,FR,기타,기타/FR
01P0000171588,FR,기타,기타/FR
01P0000171603,FR,체리브라운,체리브라운/FR
01P0000171606,FR,기타,기타/FR
01P0000171676,하프,기타,기타/하프
01P0000171698,대,기타,기타/대
01P0000171702,중,기타,기타/중
01P0000171703,소,기타,기타/소
